sec,x1[m],v1[m/s],a1[m/s2],Force1[kgf],Force2[kgf],Fmonitor[V],Vmonitor[V],F_sim,MV1[V],x1tg[m],F1tg[kgf],v1tg[m/s],GLx1[m],GLy1[m],GHy1[m],GHy1[m],GHidariX[m],GhidariY[m],G_ab1[m],wii1-1[V],wii1-2[V],wii1-3[V],wii1-4[V],wii1-5[V],wii1-6[V],wii1-7[V],wii1-8[V],hidarite1-1[V],Hidarite1-2[V],Hidarite1-3[V],Hidarite1-4[V],GLx2[m],GLy2[m],GHy2[m],GHy2[m],GHidari2X[m],Ghidari2Y[m],G_ab2[m],wii2-1[V],wii2-2[V],wii2-3[V],wii2-4[V],wii2-5[V],wii2-6[V],wii2-7[V],wii2-8[V],hidarite2-1[V],Hidarite2-2[V],Hidarite2-3[V],Hidarite2-4[V],F1COP[kgf],x1COP[m],remoteEncoder[m],remoteForce[kgf],remoteGab[m],remoteFmoni[V]
0.185076,0,,,0.169067,0.071106,,,,,,,,,,,,,,62.84544963,,,,,,,,,,,,,,,,,,,-3.423214468,,,,,,,,,,,,,,,,,,
0.187941,0,,,0.170288,0.070801,,,,,,,,,,,,,,63.21354039,,,,,,,,,,,,,,,,,,,-3.244712756,,,,,,,,,,,,,,,,,,
0.192176,0,,,0.167847,0.074768,,,,,,,,,,,,,,63.55291373,,,,,,,,,,,,,,,,,,,-3.126803559,,,,,,,,,,,,,,,,,,
0.194673,0,,,0.169678,0.074463,,,,,,,,,,,,,,63.82977109,,,,,,,,,,,,,,,,,,,-3.071325381,,,,,,,,,,,,,,,,,,
0.19719,0,,,0.162354,0.078125,,,,,,,,,,,,,,64.04546227,,,,,,,,,,,,,,,,,,,-3.046750342,,,,,,,,,,,,,,,,,,
0.199674,0,,,0.167236,0.07782,,,,,,,,,,,,,,64.2272368,,,,,,,,,,,,,,,,,,,-3.037090427,,,,,,,,,,,,,,,,,,
0.202178,0,,,0.171509,0.078125,,,,,,,,,,,,,,64.37018407,,,,,,,,,,,,,,,,,,,-3.037263155,,,,,,,,,,,,,,,,,,
0.204781,0,,,0.17334,0.07843,,,,,,,,,,,,,,64.43908703,,,,,,,,,,,,,,,,,,,-3.0424353,,,,,,,,,,,,,,,,,,
0.207281,0,,,0.17395,0.079651,,,,,,,,,,,,,,64.42445423,,,,,,,,,,,,,,,,,,,-3.02279607,,,,,,,,,,,,,,,,,,
0.211625,0,,,0.172424,0.081177,,,,,,,,,,,,,,64.35639692,,,,,,,,,,,,,,,,,,,-2.971158784,,,,,,,,,,,,,,,,,,
0.214136,0,,,0.17334,0.082397,,,,,,,,,,,,,,64.28619441,,,,,,,,,,,,,,,,,,,-2.911798904,,,,,,,,,,,,,,,,,,
0.216621,0,,,0.166626,0.083618,,,,,,,,,,,,,,64.2333854,,,,,,,,,,,,,,,,,,,-2.863922995,,,,,,,,,,,,,,,,,,
0.219106,0,,,0.167847,0.086365,,,,,,,,,,,,,,64.17065929,,,,,,,,,,,,,,,,,,,-2.861605994,,,,,,,,,,,,,,,,,,
